iter	Passed	Remaining
0	5	1055
1	9	893
2	13	906
3	17	877
4	21	846
5	25	825
6	29	818
7	33	814
8	38	806
9	41	796
10	45	783
11	49	779
12	53	770
13	57	762
14	61	757
15	65	751
16	69	743
17	73	738
18	77	736
19	81	734
20	85	726
21	89	721
22	92	713
23	96	708
24	100	703
25	104	698
26	108	694
27	112	692
28	117	691
29	121	685
30	124	679
31	128	674
32	132	669
33	136	665
34	140	662
35	144	658
36	148	653
37	152	648
38	155	643
39	159	637
40	162	631
41	166	627
42	170	624
43	175	621
44	180	621
45	184	618
46	188	613
47	192	608
48	196	604
49	199	598
50	203	593
51	206	588
52	210	584
53	214	580
54	218	576
55	222	571
56	226	568
57	230	564
58	234	559
59	238	555
60	242	553
61	246	549
62	250	545
63	255	542
64	259	538
65	263	534
66	267	530
67	271	526
68	275	522
69	279	518
70	283	514
71	287	511
72	292	508
73	298	507
74	303	506
75	307	501
76	311	497
77	315	492
78	318	488
79	322	484
80	326	479
81	330	474
82	333	470
83	337	466
84	341	461
85	344	457
86	348	452
87	352	448
88	356	444
89	361	441
90	365	438
91	371	435
92	376	433
93	380	428
94	384	424
95	387	420
96	391	415
97	395	411
98	398	406
99	402	402
100	406	398
101	410	394
102	414	390
103	418	385
104	421	381
105	425	377
106	428	372
107	432	368
108	435	363
109	439	359
110	443	355
111	447	351
112	450	347
113	454	342
114	457	338
115	461	334
116	465	329
117	468	325
118	472	321
119	476	317
120	480	313
121	485	310
122	490	307
123	494	303
124	498	299
125	502	294
126	505	290
127	509	286
128	512	282
129	515	277
130	519	273
131	522	269
132	526	265
133	529	260
134	533	256
135	537	252
136	541	249
137	545	244
138	548	240
139	552	236
140	558	233
141	562	229
142	567	226
143	572	222
144	575	218
145	579	214
146	583	210
147	587	206
148	590	202
149	594	198
150	598	194
151	601	189
152	605	185
153	608	181
154	613	178
155	618	174
156	623	170
157	627	166
158	631	162
159	634	158
160	638	154
161	642	150
162	646	146
163	649	142
164	653	138
165	657	134
166	661	130
167	665	126
168	669	122
169	673	118
170	677	114
171	680	110
172	684	106
173	687	102
174	693	99
175	698	95
176	702	91
177	705	87
178	708	83
179	712	79
180	715	75
181	719	71
182	722	67
183	725	63
184	729	59
185	733	55
186	737	51
187	741	47
188	745	43
189	750	39
190	756	35
191	760	31
192	764	27
193	767	23
194	770	19
195	774	15
196	777	11
197	781	7
198	784	3
199	787	0
